ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
BIOGEN INC.,BIIB,US09062X1037,US,20180101,Biotechnology,6.4,5.1,8,4.8,4.9,10,9.90,8.00,5.40,5.30,6,3.90,10,3,1.2,2.2,9.90,3.9,6.80,2.1,4.1,5.1,6.00,0.00,4.80,3.80,0,1.2,8.40,6.80,9.1,6.2,8.80,3.20,5.00,6,3.90,7.90,4.80,5.00,5.00,5.00,5.00,13,14,93,91,1,65,76,36,75,55,66
DANAHER CORPORATION,DHR,US2358511028,US,20180101,Health Care Equipment & Supplies,1.8,4,7.9,4.2,3.2,7.9,4.40,5.70,8.00,3.10,1.6,4.40,7.9,2.3,1,3.5,4.40,3.6,1.00,2.7,5.1,0,4.90,0.00,7.90,5.80,0,3.1,5.90,6.90,8.2,8.7,8.10,3.10,4.20,1.6,4.40,8.50,5.90,5.00,5.00,5.00,5.00,9,9,3,2,4,2,2,45,90,38,29
MICROSOFT CORPORATION,MSFT,US5949181045,US,20180101,Software & Services,10,6.8,7.2,6.8,6.6,10,9.90,10.00,4.80,8.70,5,9.60,10,1.8,2,4.7,9.90,3.2,6.20,2,2.8,5.8,4.00,0.00,8.50,5.50,0,0.4,9.10,6.90,6.2,2.5,8.70,7.50,9.20,5,9.60,5.20,7.80,3.70,3.70,3.70,3.70,5,5,85,82,2,43,49,45,90,35,22
CEPHEID,DHR,US15670RAB33,US,20180101,Health Care Equipment & Supplies,1.8,4,7.9,4.2,3.2,7.9,4.40,5.70,8.00,3.10,1.6,4.40,7.9,2.3,1,3.5,4.40,3.6,1.00,2.7,5.1,0,4.90,0.00,7.90,5.80,0,3.1,5.90,6.90,8.2,8.7,8.10,3.10,4.20,1.6,4.40,8.50,5.90,5.00,5.00,5.00,5.00,9,9,3,2,4,2,2,45,90,38,29
BAYER ESSURE INC.,BAYG,US206016AB36,US,20180101,Pharmaceuticals,5.7,4.4,3.3,4.5,4.6,9.2,7.80,3.30,4.20,4.10,5.9,3.50,9.2,4.1,3.9,5,7.80,4.7,5.50,4.2,7.7,1.9,4.70,0.00,8.70,6.40,0,3.2,8.90,6.10,7.8,7.5,8.30,2.90,4.20,5.9,3.50,8.20,4.70,4.60,4.60,3.70,3.70,61,53,36,34,1,64,39,58,32,80,68
CELGENE CORPORATION,CELG,US1510201049,US,20180101,Biotechnology,4.4,4.6,4.3,5,3.9,9.4,9.20,4.30,5.30,5.00,4.1,3.70,9.4,2.3,1.1,2.4,9.20,4,6.20,3.4,6.3,0,9.40,0.00,5.60,8.00,0,1.3,8.40,6.70,9,6.2,7.10,3.20,3.30,4.1,3.70,8.10,4.80,5.00,5.00,5.00,5.00,23,25,17,11,3,24,28,36,75,80,94
GOOGLE LLC,GOOGL,US38259PAB85,US,20180101,Software & Services,6.5,4.7,5.8,6.1,3.1,10,9.80,9.10,6.70,5.70,0,5.00,10,2.5,2.8,1.9,9.80,2.9,5.70,1.8,2.9,5.1,6.10,0.00,7.00,6.10,0,0.5,8.30,8.00,6,0.8,5.70,10.00,8.70,0,8.40,5.20,6.60,3.70,3.70,3.70,3.70,26,28,1,1,4,0,0,1,2,42,37
PALL CORPORATION,DHR,US696429AC38,US,20180101,Industrial Machinery,1.8,4,7.9,4.2,3.2,7.9,4.40,5.70,8.00,3.10,1.6,4.40,7.9,2.3,1,3.5,4.40,3.6,1.00,2.7,5.1,0,4.90,0.00,7.90,5.80,0,3.1,5.90,6.90,8.2,8.7,8.10,3.10,4.20,1.6,4.40,8.50,5.90,5.00,5.00,5.00,5.00,9,9,3,2,4,2,2,45,90,38,29
"LEIDOS HOLDINGS, INC.",LDOS,US5253271028,US,20180101,Software & Services,4.9,4.1,4.6,2.7,5.3,10,10.00,7.80,0.90,4.40,6.6,3.90,10,1.7,1.1,1.5,10.00,3.1,7.00,2.6,3,7.9,7.70,0.00,6.30,7.00,0,0.3,9.90,3.80,4.7,0.8,4.40,5.10,2.50,6.6,3.90,6.20,3.10,5.00,5.00,5.00,5.00,36,39,77,70,1,76,88,45,90,72,92
"VERISIGN, INC.",VRSN,US92343E1029,US,20180101,Software & Services,4.1,3.8,7.5,2.9,4.7,7.5,8.50,7.90,5.10,1.20,4.7,4.80,7.5,2.5,2.8,1.9,8.50,3,4.50,1.9,2.9,5.1,6.80,0.00,4.00,3.80,0,0.5,8.30,6.40,3.3,0.8,1.20,10.00,4.20,4.7,4.80,5.10,2.90,5.00,5.00,5.00,5.00,38,41,50,38,3,36,42,30,61,51,56
