iso3,source_id,source_name,owner,lat,lon,emissions_quantity,sector,gas,subsector,country,capacity,activity,origin
AUS,43158467,Lebedinsky Mine,,51.280537,37.630765,2602541.0111364448,mineral-extraction,co2e_100yr,iron-mining,RUS,45600000000.0,33408742.142958216,api
AUS,45944900,Sarcheshmeh Complex,,29.947311,55.866683,2178630.999999999,mineral-extraction,co2e_100yr,copper-mining,IRN,14400000000.0,108389602.99999993,api
AUS,45945011,Antapaccay Mine,,-14.884351,-71.31326,1928869.0000000002,mineral-extraction,co2e_100yr,copper-mining,PER,5508000000.0,40952630.0,api
AUS,45944721,Dikuluwe-Mashamba West Mine,,-10.742402,25.369888,1829997.0,mineral-extraction,co2e_100yr,copper-mining,COD,35151151374.82866,43262351.0,api
AUS,43158461,Kachkanar-Gusevogorsk Mine,,58.752653,59.514403,1821232.0077931727,mineral-extraction,co2e_100yr,iron-mining,RUS,117610728000.0,64354472.27537705,api
AUS,45944892,Grasberg Block Cave Mine,,-4.063208,137.121579,1592699.0115833092,mineral-extraction,co2e_100yr,copper-mining,IDN,9324000000.0,42814500.31137937,api
AUS,45944867,Tenke Fungurume Mine,,-10.589692,26.201597,1340404.0,mineral-extraction,co2e_100yr,copper-mining,COD,3330000000.0,14199200.0,api
AUS,45944993,Letpadaung Mine,,22.077188,95.091408,1129213.0,mineral-extraction,co2e_100yr,copper-mining,MMR,18000000000.0,56179762.0,api
AUS,45944583,Lomas Bayas Mine,,-23.431866,-69.512543,1075179.0,mineral-extraction,co2e_100yr,copper-mining,CHL,3408000000.0,22827575.0,api
AUS,45945231,Kansanshi Mine,,-12.090073,26.431865,1058410.0,mineral-extraction,co2e_100yr,copper-mining,ZMB,10617600000.0,23313000.0,api
AUS,45944897,Jian Mine,,30.451328,53.597874,1040694.6412799996,mineral-extraction,co2e_100yr,copper-mining,IRN,5951860094.708668,48180307.46666666,api
AUS,45944890,Deep Mill Level Zone Mine,,-4.103814,137.103348,1030570.0074950831,mineral-extraction,co2e_100yr,copper-mining,IDN,3996000000.0,27703500.20148077,api
AUS,45944901,Sungun Mine,,38.700061,46.702171,998964.9999999994,mineral-extraction,co2e_100yr,copper-mining,IRN,12000000000.0,49699744.99999998,api
AUS,45944959,Buenavista del Cobre Mine,,30.967532,-110.332537,970099.9999999999,mineral-extraction,co2e_100yr,copper-mining,MEX,37026000000.0,194020000.0,api
AUS,45944351,Kajaran Mine,,39.144491,46.139239,956837.0040943689,mineral-extraction,co2e_100yr,copper-mining,ARM,10419273539.019966,63789108.27295782,api
AUS,45944943,Zhezkazgan South Mine,,47.868109,67.416915,947705.0040552926,mineral-extraction,co2e_100yr,copper-mining,KAZ,5747203109.993137,52359415.224049404,api
AUS,43157972,Carol Lake Mine,,53.035371,-66.94096,942050.0040310943,mineral-extraction,co2e_100yr,iron-mining,CAN,12096000000.0,41500000.17758125,api
AUS,45944899,Miduk Mine,,30.42284,55.167459,879961.9999999997,mineral-extraction,co2e_100yr,copper-mining,IRN,2964000000.0,43779203.99999999,api
AUS,43158471,Mikhailovsky Mine,,52.317023,35.421039,869344.0037199806,mineral-extraction,co2e_100yr,iron-mining,RUS,124800000000.0,49115455.21016829,api
