iso3,source_id,source_name,owner,lat,lon,emissions_quantity,sector,gas,subsector,country,capacity,activity,origin
AUS,53059054,Russia_Central Sub-basin - West Siberia_Conventional onshore,,63.14992056,75.07028719,268604732.3177545,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,RUS,0.0,0.0,api
AUS,53058858,Iran_Zagros Foldbelt_Conventional onshore,,30.98387974,49.3947384,169628975.34764776,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,IRN,0.0,0.0,api
AUS,53058624,Canada_West Canadian - Alberta_Oil sands AB,,56.16913987,-111.3587498,166847823.89487568,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,CAN,0.0,0.0,api
AUS,53059095,Saudi Arabia_Widyan - North Arabian Gulf_Conventional onshore,,24.83770287,48.8153371,109863545.51253554,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,SAU,0.0,0.0,api
AUS,8319715,Mougoutsi Department,,-3.030898383499931,11.383505647108503,107966664.38242002,forestry-and-land-use,co2e_100yr,net-forest-land,GAB,529.5206409298695,516541050.6934498,api
AUS,8605505,Mougoutsi Department,,-3.030898383499931,11.383505647108503,104209740.64748996,forestry-and-land-use,co2e_100yr,removals,GAB,408.1403635526708,554666127.1318702,api
AUS,8565746,Mvouti District,,-4.356110572499944,12.413261316570399,102942761.31442003,forestry-and-land-use,co2e_100yr,removals,COG,380.0447779500558,138780039.84040004,api
AUS,8310866,Mvouti District,,-4.356110572499944,12.413261316570399,102595692.09125,forestry-and-land-use,co2e_100yr,net-forest-land,COG,383.4678240738797,136174277.45139998,api
AUS,8560515,Ndian Department,,4.841376305000067,8.947191404109706,102075194.06230997,forestry-and-land-use,co2e_100yr,removals,CMR,403.1638628909338,245979735.84017003,api
AUS,8310606,Ndian Department,,4.841376305000067,8.947191404109706,101442456.94438003,forestry-and-land-use,co2e_100yr,net-forest-land,CMR,406.794750588609,244443175.72598,api
AUS,53058863,Iraq_Widyan - North Arabian Gulf_Conventional onshore,,30.87667217,47.15489484,99995863.09950207,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,IRQ,0.0,0.0,api
AUS,8164920,Velasco Province,,-15.45555519999991,-60.87755103889528,90388376.00000001,forestry-and-land-use,co2e_100yr,forest-land-fires,BOL,108.20941968320732,243209945.14207742,api
AUS,53059076,Russia_Volga - Urals_Conventional onshore,,54.58341793,53.18313135,84961146.5940599,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,RUS,0.0,0.0,api
AUS,53058854,Iran_Rub al Khali_Conventional shelf,,26.62288477,52.29625915,83605137.93459398,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,IRN,0.0,0.0,api
AUS,53059897,Russia_Central Sub-basin - West Siberia_Conventional onshore,,63.14992056,75.07028719,82816177.7628175,fossil-fuel-operations,co2e_100yr,oil-and-gas-transport,RUS,0.0,0.0,api
AUS,8164908,Angel Sandoval Province,,-17.18895706149985,-58.95696975687621,80039070.00000001,forestry-and-land-use,co2e_100yr,forest-land-fires,BOL,108.20941968320732,215362845.15082887,api
AUS,53059122,Spraberry Lower Light Oil TX,,31.95319952,-101.8681182,68136935.67061621,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,USA,0.0,0.0,api
AUS,5018183,São Félix do Xingu Municipality,,-7.4614655154999525,-52.462040878054744,67535990.0,forestry-and-land-use,co2e_100yr,forest-land-clearing,BRA,109.98810961949103,67535990.0,api
AUS,8164916,Ñuflo De Chávez Province,,-15.63050455149994,-62.035541627143026,67121550.0,forestry-and-land-use,co2e_100yr,forest-land-fires,BOL,108.20941968320732,180605396.5761173,api
AUS,53059096,Saudi Arabia_Widyan - North Arabian Gulf_Conventional shelf,,27.74535928,49.48245891,60055563.53799553,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,SAU,0.0,0.0,api
AUS,5054522,Olekminskiy District,,59.348526001000096,120.92468829200622,59403300.00000001,forestry-and-land-use,co2e_100yr,forest-land-clearing,RUS,121.4364969169983,59403300.00000001,api
AUS,8319706,Basse Banio Department,,-3.218193999999926,10.760829096722599,59303213.362530015,forestry-and-land-use,co2e_100yr,net-forest-land,GAB,586.2875334739206,306880359.82819,api
AUS,8605501,Basse Banio Department,,-3.218193999999926,10.760829096722599,59105198.904020004,forestry-and-land-use,co2e_100yr,removals,GAB,556.7132257754698,314276243.74661,api
AUS,53059881,Qatar_Rub al Khali_LNG,,26.33890017,52.01875243,56617592.965530515,fossil-fuel-operations,co2e_100yr,oil-and-gas-transport,QAT,0.0,0.0,api
AUS,8319690,Douya Onoye Department,,-1.7650240059999476,11.108346917067466,56471661.115100004,forestry-and-land-use,co2e_100yr,net-forest-land,GAB,606.5888181393647,288242248.00766003,api
AUS,8605496,Douya Onoye Department,,-1.7650240059999476,11.108346917067466,55388308.96458999,forestry-and-land-use,co2e_100yr,removals,GAB,582.7281344704409,292489599.76824003,api
AUS,8164913,Guarayos Province,,-15.24431232449993,-63.19446770766885,52186369.99999999,forestry-and-land-use,co2e_100yr,forest-land-fires,BOL,108.20941968320732,140418986.89344913,api
AUS,8565744,Madingo-Kayes District,,-3.965502500499952,11.453096402771978,51601588.03615001,forestry-and-land-use,co2e_100yr,removals,COG,447.6014494582806,184975830.26847994,api
AUS,53058999,Oman_Rub al Khali_Conventional onshore,,22.07836452,56.30801465,51147088.9058113,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,OMN,0.0,0.0,api
AUS,53059697,Iran_Rub al Khali_Conventional shelf,,26.62288477,52.29625915,50711609.490266964,fossil-fuel-operations,co2e_100yr,oil-and-gas-transport,IRN,0.0,0.0,api
AUS,5015641,Velasco Province,,-15.45555519999991,-60.87755103889528,50641790.00000001,forestry-and-land-use,co2e_100yr,forest-land-clearing,BOL,99.48493566700984,50641790.00000001,api
AUS,8310865,Madingo-Kayes District,,-3.965502500499952,11.453096402771978,50499006.57543998,forestry-and-land-use,co2e_100yr,net-forest-land,COG,513.4996424408367,174750371.81883,api
AUS,5021543,Northern Rockies Regional District,,59.000022887500116,-123.46930811295908,50484904.0,forestry-and-land-use,co2e_100yr,forest-land-clearing,CAN,144.87411564442831,50484904.0,api
AUS,8310869,Sibiti District,,-3.632638930999945,13.297169845328407,50455001.09543001,forestry-and-land-use,co2e_100yr,net-forest-land,COG,546.3706344954591,351074637.79829,api
AUS,5015634,Guarayos Province,,-15.24431232449993,-63.19446770766885,49728550.00000001,forestry-and-land-use,co2e_100yr,forest-land-clearing,BOL,99.48493566700984,49728550.00000001,api
AUS,53058453,Algeria_Illizi - Ghadames_Conventional onshore,,30.25093858,8.029969123,48605458.61484325,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,DZA,0.0,0.0,api
AUS,53058893,Kuwait_Widyan - North Arabian Gulf_Conventional onshore,,29.21565747,47.71724959,48360798.12330735,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,KWT,0.0,0.0,api
AUS,8565752,Sibiti District,,-3.632638930999945,13.297169845328407,48145982.91426999,forestry-and-land-use,co2e_100yr,removals,COG,504.9939385078173,365199343.95606,api
AUS,53059221,Venezuela_Maturin_Heavy oil,,8.590301896,-63.99002992,47835056.23139443,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,VEN,0.0,0.0,api
AUS,53059167,Turkmenistan_Amu-Dar'ya_Acid/sour gas,,37.66144356,62.45741854,47643792.82222016,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,TKM,0.0,0.0,api
AUS,8161305,Roper Gulf Shire,,-15.305660999999958,134.05687560478293,47605796.0,forestry-and-land-use,co2e_100yr,forest-land-fires,AUS,120.90969421143886,158685992.1019387,api
AUS,53058916,Marcellus Dry Gas PA,,41.04079676,-78.09209805,47022582.360899016,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,USA,0.0,0.0,api
AUS,53059220,Venezuela_Maturin_Conventional onshore,,9.466661063,-63.78457063,46896432.97360408,fossil-fuel-operations,co2e_100yr,oil-and-gas-production,VEN,0.0,0.0,api
AUS,5015637,Ñuflo De Chávez Province,,-15.63050455149994,-62.035541627143026,44898584.0,forestry-and-land-use,co2e_100yr,forest-land-clearing,BOL,99.48493566700984,44898584.0,api
