cik,ticker,name,sic,sic_description,state_of_incorporation,exchanges,hq_street,hq_city,hq_state_or_country,hq_postcode,hq_address
1045810,NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,DE,Nasdaq,2788 SAN TOMAS EXPRESSWAY,SANTA CLARA,CA,95051,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, 95051"
320193,AAPL,Apple Inc.,3571,Electronic Computers,CA,Nasdaq,ONE APPLE PARK WAY,CUPERTINO,CA,95014,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014"
1652044,GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",DE,Nasdaq|Nasdaq|Nasdaq|Nasdaq,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, 94043"
789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,WA,Nasdaq,ONE MICROSOFT WAY,REDMOND,WA,98052-6399,"ONE MICROSOFT WAY, REDMOND, WA, 98052-6399"
1018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,DE,Nasdaq,410 TERRY AVENUE NORTH,SEATTLE,WA,98109,"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109"
1730168,AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices,,Nasdaq,3421 HILLVIEW AVENUE,PALO ALTO,CA,94304,"3421 HILLVIEW AVENUE, PALO ALTO, CA, 94304"
1326801,META,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",DE,Nasdaq,1 META WAY,MENLO PARK,CA,94025,"1 META WAY, MENLO PARK, CA, 94025"
1318605,TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,TX,Nasdaq,1 TESLA ROAD,AUSTIN,TX,78725,"1 TESLA ROAD, AUSTIN, TX, 78725"
59478,LLY,ELI LILLY & Co,2834,Pharmaceutical Preparations,IN,NYSE,LILLY CORPORATE CTR,INDIANAPOLIS,IN,46285,"LILLY CORPORATE CTR, DROP CODE 1094, INDIANAPOLIS, IN, 46285"
1067983,BRK-B,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance",DE,NYSE|NYSE,3555 FARNAM STREET,OMAHA,NE,68131,"3555 FARNAM STREET, OMAHA, NE, 68131"
19617,JPM,JPMORGAN CHASE & CO,6021,National Commercial Banks,DE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,270 PARK AVENUE,NEW YORK,NY,10017,"270 PARK AVENUE, NEW YORK, NY, 10017"
104169,WMT,Walmart Inc.,5331,Retail-Variety Stores,DE,Nasdaq,1 CUSTOMER DRIVE,BENTONVILLE,AR,72716,"1 CUSTOMER DRIVE, BENTONVILLE, AR, 72716"
2488,AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,DE,Nasdaq,2485 AUGUSTINE DRIVE,SANTA CLARA,CA,95054,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, 95054"
