query,lat,lon,display_name,type,class,importance
"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, 95051",37.3705437,-121.9670806,"NVIDIA Endeavor, 2788, San Tomas Expressway, Santa Clara, Santa Clara County, California, 95051, United States",yes,building,6.557488364991253e-05
"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",37.3350144,-122.0131527,"Apple Park Way, Cupertino, Santa Clara County, California, 95014, United States",unclassified,highway,0.05339264591439685
"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, 94043",37.4224858,-122.0855846,"Google Building 41, 1600, Amphitheatre Parkway, Mountain View, Santa Clara County, California, 94043, United States",commercial,building,6.277943083843774e-05
"ONE MICROSOFT WAY, REDMOND, WA, 98052-6399",47.6411813,-122.1266792,"Microsoft Building 1, 15975, NE One Microsoft Way, Microsoft Redmond East Campus, Overlake, Redmond, King County, Washington, 98052, United States",yes,building,6.192492561222275e-05
"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109",47.622298,-122.3365001,"Amazon.com Invictus, 410, Terry Avenue North, South Lake Union, Cascade, Belltown, Seattle, King County, Washington, 98109, United States",company,office,7.72983901731444e-05
"3421 HILLVIEW AVENUE, PALO ALTO, CA, 94304",37.3990267,-122.1444156,"3421 Hillview Avenue, Hillview Avenue, Palo Alto, Santa Clara County, California, 94304, United States",bus_stop,highway,6.655451285568044e-05
"1 META WAY, MENLO PARK, CA, 94025",37.4810509,-122.1590645,"Meta MPK 21, 1, Meta Way, Meta West Campus, Belle Haven, Menlo Park, San Mateo County, California, 94025, United States",office,building,6.041123064007046e-05
"1 TESLA ROAD, AUSTIN, TX, 78725",30.2219321,-97.6187733,"Tesla Gigafactory Texas Main Building, 1, Tesla Road, Austin, Travis County, Texas, 78725, United States",manufacture,building,0.36902538090653614
"3555 FARNAM STREET, OMAHA, NE, 68131",41.2574068,-95.9653894,"Kiewit Plaza, 3555, Farnam Street, Blackstone, Omaha, Douglas County, Nebraska, 68131, United States",office,building,7.01800564583355e-05
"270 PARK AVENUE, NEW YORK, NY, 10017",40.7559787,-73.9759701,"270 Park Avenue, 270, Park Avenue, Midtown East, Manhattan Community Board 5, Manhattan, New York County, New York, 10017, United States",company,office,0.45005934006990783
"1 CUSTOMER DRIVE, BENTONVILLE, AR, 72716",36.3643435,-94.1947297,"Walmart Welcome Center, 1, Customer Drive, Bentonville, Benton County, Arkansas, 72716, United States",office,information,5.82780193789123e-05
"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, 95054",37.3829605,-121.9703774,"Advanced Micro Devices, 2485, Augustine Drive, Santa Clara, Santa Clara County, California, 95054, United States",company,office,0.60678957241416
"22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX, 77389",30.1032424,-95.4461518,"Chick-fil-A, 22777, Springwoods Village Parkway, Springwood, Spring, Harris County, Texas, 77389, United States",fast_food,amenity,5.6797894254932744e-05
"2000 PURCHASE STREET, PURCHASE, NY, 10577",41.0253802,-73.7131634,"2000, Purchase Street, Purchase, Town/Village of Harrison, Westchester County, New York, 10577, United States",house,place,5.493629358353578e-05
"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, 60064",42.3015593,-87.8902499,"North Waukegan Road, North Chicago, Lake County, Illinois, 60064, United States",primary,highway,0.05339150606546117
"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255",35.2273122,-80.8422255,"Bank of America, 100, North Tryon Street, Uptown, Charlotte, Mecklenburg County, North Carolina, 28202, United States",bank,amenity,7.101625085827447e-05
"170 WEST TASMAN DR, SAN JOSE, CA, 95134-1706",37.4083584,-121.9540909,"Cisco Systems Building D, 180;170, West Tasman Drive, San Jose, Santa Clara County, California, 95134, United States",office,building,6.557488364991253e-05
"999 LAKE DRIVE, ISSAQUAH, WA, 98027-",47.5486034,-122.0506179,"Costco Corporate Building 1, 999, Lake Drive, Costco Corporate Campus, Issaquah, King County, Washington, 98027, United States",company,office,5.5864042114854924e-05
"2300 ORACLE WAY, AUSTIN, TX, 78741",30.243505,-97.721831,"2300, Oracle Way, Lakeshore, Austin, Travis County, Texas, 78741, United States",house,place,7.494392309448413e-05
"1400 SMITH STREET, HOUSTON, TX, 77002",29.755578,-95.3718129,"1400 Smith Street, 1400, Smith Street, Downtown, Houston, Harris County, Texas, 77006, United States",yes,building,0.33557113795112237
"ONE COCA COLA PLAZA, ATLANTA, GA, 30313",33.7708677,-84.3966253,"One Coca-Cola Plaza, 1, PATH Parkway, Atlanta, Fulton County, Georgia, 30313, United States",yes,building,7.908064393067854e-05
