iso3,country,region,income_level,lending_type,capital_city,lat,lon,aggregate
ABW,Aruba,LCN,HIC,LNX,Oranjestad,12.5167,-70.0167,False
AFG,Afghanistan,MEA,LIC,IDX,Kabul,34.5228,69.1761,False
AGO,Angola,SSF,LMC,IBD,Luanda,-8.81155,13.242,False
ALB,Albania,ECS,UMC,IBD,Tirane,41.3317,19.8172,False
AND,Andorra,ECS,HIC,LNX,Andorra la Vella,42.5075,1.5218,False
ARB,Arab World,,,,,,,True
ARE,United Arab Emirates,MEA,HIC,LNX,Abu Dhabi,24.4764,54.3705,False
ARG,Argentina,LCN,UMC,IBD,Buenos Aires,-34.6118,-58.4173,False
ARM,Armenia,ECS,UMC,IBD,Yerevan,40.1596,44.509,False
ASM,American Samoa,EAS,HIC,LNX,Pago Pago,-14.2846,-170.691,False
ATG,Antigua and Barbuda,LCN,HIC,IBD,Saint John's,17.1175,-61.8456,False
AUS,Australia,EAS,HIC,LNX,Canberra,-35.282,149.129,False
AUT,Austria,ECS,HIC,LNX,Vienna,48.2201,16.3798,False
AZE,Azerbaijan,ECS,UMC,IBD,Baku,40.3834,49.8932,False
BDI,Burundi,SSF,LIC,IDX,Bujumbura,-3.3784,29.3639,False
BEL,Belgium,ECS,HIC,LNX,Brussels,50.8371,4.36761,False
BEN,Benin,SSF,LMC,IDX,Porto-Novo,6.4779,2.6323,False
BFA,Burkina Faso,SSF,LIC,IDX,Ouagadougou,12.3605,-1.53395,False
BGD,Bangladesh,SAS,LMC,IDX,Dhaka,23.7055,90.4113,False
BGR,Bulgaria,ECS,HIC,IBD,Sofia,42.7105,23.3238,False
BHR,Bahrain,MEA,HIC,LNX,Manama,26.1921,50.5354,False
BHS,"Bahamas, The",LCN,HIC,LNX,Nassau,25.0661,-77.339,False
BIH,Bosnia and Herzegovina,ECS,UMC,IBD,Sarajevo,43.8607,18.4214,False
BLR,Belarus,ECS,UMC,IBD,Minsk,53.9678,27.5766,False
BLZ,Belize,LCN,UMC,IDB,Belmopan,17.2534,-88.7713,False
BMU,Bermuda,NAC,HIC,LNX,Hamilton,32.3293,-64.706,False
BOL,Bolivia,LCN,LMC,IBD,La Paz,-13.9908,-66.1936,False
BRA,Brazil,LCN,UMC,IBD,Brasilia,-15.7801,-47.9292,False
BRB,Barbados,LCN,HIC,IBD,Bridgetown,13.0935,-59.6105,False
BRN,Brunei Darussalam,EAS,HIC,LNX,Bandar Seri Begawan,4.94199,114.946,False
BTN,Bhutan,SAS,LMC,IDX,Thimphu,27.5768,89.6177,False
BWA,Botswana,SSF,UMC,IBD,Gaborone,-24.6544,25.9201,False
CAF,Central African Republic,SSF,LIC,IDX,Bangui,5.63056,21.6407,False
CAN,Canada,NAC,HIC,LNX,Ottawa,45.4215,-75.6919,False
CEB,Central Europe and the Baltics,,,,,,,True
CHE,Switzerland,ECS,HIC,LNX,Bern,46.948,7.44821,False
CHI,Channel Islands,ECS,HIC,LNX,,,,False
CHL,Chile,LCN,HIC,IBD,Santiago,-33.475,-70.6475,False
CHN,China,EAS,UMC,IBD,Beijing,40.0495,116.286,False
CIV,Cote d'Ivoire,SSF,LMC,IDB,Yamoussoukro,5.332,-4.0305,False
CMR,Cameroon,SSF,LMC,IDB,Yaounde,3.8721,11.5174,False
COD,"Congo, Dem. Rep.",SSF,LIC,IDX,Kinshasa,-4.325,15.3222,False
COG,"Congo, Rep.",SSF,LMC,IDB,Brazzaville,-4.2767,15.2662,False
COL,Colombia,LCN,UMC,IBD,Bogota,4.60987,-74.082,False
COM,Comoros,SSF,LMC,IDX,Moroni,-11.6986,43.2418,False
CPV,Cabo Verde,SSF,UMC,IDB,Praia,14.9218,-23.5087,False
CRI,Costa Rica,LCN,HIC,IBD,San Jose,9.63701,-84.0089,False
CSS,Caribbean small states,,,,,,,True
CUB,Cuba,LCN,UMC,LNX,Havana,23.1333,-82.3667,False
CUW,Curacao,LCN,HIC,LNX,Willemstad,,,False
CYM,Cayman Islands,LCN,HIC,LNX,George Town,19.3022,-81.3857,False
CYP,Cyprus,ECS,HIC,LNX,Nicosia,35.1676,33.3736,False
CZE,Czechia,ECS,HIC,LNX,Prague,50.0878,14.4205,False
DEU,Germany,ECS,HIC,LNX,Berlin,52.5235,13.4115,False
DJI,Djibouti,MEA,LMC,IDX,Djibouti,11.5806,43.1425,False
DMA,Dominica,LCN,UMC,IDB,Roseau,15.2976,-61.39,False
DNK,Denmark,ECS,HIC,LNX,Copenhagen,55.6763,12.5681,False
DOM,Dominican Republic,LCN,UMC,IBD,Santo Domingo,18.479,-69.8908,False
DZA,Algeria,MEA,UMC,IBD,Algiers,36.7397,3.05097,False
EAP,East Asia & Pacific (excluding high income),,,,,,,True
EAR,Early-demographic dividend,,,,,,,True
EAS,East Asia & Pacific,,,,,,,True
ECA,Europe & Central Asia (excluding high income),,,,,,,True
ECS,Europe & Central Asia,,,,,,,True
ECU,Ecuador,LCN,UMC,IBD,Quito,-0.229498,-78.5243,False
EGY,"Egypt, Arab Rep.",MEA,LMC,IBD,Cairo,30.0982,31.2461,False
EMU,Euro area,,,,,,,True
ERI,Eritrea,SSF,LIC,IDX,Asmara,15.3315,38.9183,False
ESP,Spain,ECS,HIC,LNX,Madrid,40.4167,-3.70327,False
EST,Estonia,ECS,HIC,LNX,Tallinn,59.4392,24.7586,False
ETH,Ethiopia,SSF,LIC,IDX,Addis Ababa,9.02274,38.7468,False
EUU,European Union,,,,,,,True
FCS,Fragile and conflict affected situations,,,,,,,
FIN,Finland,ECS,HIC,LNX,Helsinki,60.1608,24.9525,False
FJI,Fiji,EAS,UMC,IDB,Suva,-18.1149,178.399,False
FRA,France,ECS,HIC,LNX,Paris,48.8566,2.35097,False
FRO,Faroe Islands,ECS,HIC,LNX,Torshavn,61.8926,-6.91181,False
FSM,"Micronesia, Fed. Sts.",EAS,UMC,IDX,Palikir,6.91771,158.185,False
GAB,Gabon,SSF,UMC,IBD,Libreville,0.38832,9.45162,False
GBR,United Kingdom,ECS,HIC,LNX,London,51.5002,-0.126236,False
GEO,Georgia,ECS,UMC,IBD,Tbilisi,41.71,44.793,False
GHA,Ghana,SSF,LMC,IDX,Accra,5.57045,-0.20795,False
GIB,Gibraltar,ECS,HIC,LNX,,,,False
GIN,Guinea,SSF,LMC,IDX,Conakry,9.51667,-13.7,False
GMB,"Gambia, The",SSF,LIC,IDX,Banjul,13.4495,-16.5885,False
GNB,Guinea-Bissau,SSF,LIC,IDX,Bissau,11.8037,-15.1804,False
GNQ,Equatorial Guinea,SSF,UMC,IBD,Malabo,3.7523,8.7741,False
GRC,Greece,ECS,HIC,LNX,Athens,37.9792,23.7166,False
GRD,Grenada,LCN,UMC,IDB,Saint George's,12.0653,-61.7449,False
GRL,Greenland,ECS,HIC,LNX,Nuuk,64.1836,-51.7214,False
GTM,Guatemala,LCN,UMC,IBD,Guatemala City,14.6248,-90.5328,False
GUM,Guam,EAS,HIC,LNX,Agana,13.4443,144.794,False
GUY,Guyana,LCN,HIC,IDX,Georgetown,6.80461,-58.1548,False
HIC,High income,,,,,,,True
