indicator_id,indicator_name
AG.LND.AGRI.ZS,Agricultural land (% of land area)
AG.LND.FRLS.HA,Tree Cover Loss (hectares)
AG.LND.FRST.ZS,Forest area (% of land area)
AG.LND.PFLS.HA,Primary Forest Loss
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100)
EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population)
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2021 PPP GDP)
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
EG.ELC.ACCS.ZS,Access to electricity (% of population)
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total)
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output)
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption)
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total)
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita)
EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
EN.CLC.CDDY.XD,Cooling Degree Days
EN.CLC.CSTP.ZS,Coastal protection
EN.CLC.HDDY.XD,Heating Degree Days
EN.CLC.HEAT.XD,Heat Index 35
EN.CLC.SPEI.XD,Standardised Precipitation-Evapotranspiration Index
EN.GHG.ALL.MT.CE.AR5,Total greenhouse gas emissions excluding LULUCF (Mt CO2e)
EN.GHG.ALL.PC.CE.AR5,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
EN.GHG.CH4.MT.CE.AR5,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)
EN.GHG.CO2.LU.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e)
EN.GHG.CO2.MT.CE.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)
EN.GHG.N2O.MT.CE.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)
EN.H2O.BDYS.ZS,Proportion of bodies of water with good ambient water quality
EN.LND.LTMP.DC,Land Surface Temperature
EN.MAM.THRD.NO,"Mammal species, threatened"
EN.POP.DNST,Population density (people per sq. km of land area)
ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP)
GOV_WGI_CC.EST,Control of Corruption - Governance estimate (approx. -2.5 to +2.5)
GOV_WGI_GE.EST,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5)
GOV_WGI_PV.EST,Political Stability - Governance estimate (approx. -2.5 to +2.5)
GOV_WGI_RL.EST,Rule of Law - Governance estimate (approx. -2.5 to +2.5)
GOV_WGI_RQ.EST,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5)
GOV_WGI_VA.EST,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5)
IP.JRN.ARTC.SC,Scientific and technical journal articles
IP.PAT.RESD,"Patent applications, residents"
IT.NET.USER.ZS,Individuals using the Internet (% of population)
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
SD.ESR.PERF.XQ,Economic and Social Rights Performance Score
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
SE.PRM.ENRR,"School enrollment, primary (% gross)"
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%)
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
SH.STA.OWAD.ZS,Prevalence of overweight (% of adults)
SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population)
SI.DST.FRST.20,Income share held by lowest 20%
SI.POV.DDAY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)
SI.POV.GINI,Gini index
SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population)
SI.POV.UMIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population)
SI.SPR.PGAP,Prosperity gap (average shortfall from a prosperity standard of $28/day)
SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
SL.EMP.WORK.ZS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)"
SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
SL.UEM.NEET.FE.ME.ZS,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)"
SL.UEM.NEET.ME.ZS,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)"
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
SM.POP.NETM,Net migration
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population)
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population)
SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49)
