iso3,year,AG.LND.AGRI.ZS,AG.LND.FRLS.HA,AG.LND.FRST.ZS,AG.LND.PFLS.HA,AG.PRD.FOOD.XD,EG.CFT.ACCS.ZS,EG.EGY.PRIM.PP.KD,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,EG.IMP.CONS.ZS,EG.USE.COMM.FO.ZS,EG.USE.PCAP.KG.OE,EN.ATM.PM25.MC.M3,EN.CLC.CDDY.XD,EN.CLC.CSTP.ZS,EN.CLC.HDDY.XD,EN.CLC.HEAT.XD,EN.CLC.SPEI.XD,EN.GHG.ALL.MT.CE.AR5,EN.GHG.ALL.PC.CE.AR5,EN.GHG.CH4.MT.CE.AR5,EN.GHG.CO2.LU.MT.CE.AR5,EN.GHG.CO2.MT.CE.AR5,EN.GHG.N2O.MT.CE.AR5,EN.H2O.BDYS.ZS,EN.LND.LTMP.DC,EN.MAM.THRD.NO,EN.POP.DNST,ER.H2O.FWST.ZS,ER.H2O.FWTL.ZS,ER.PTD.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GOV_WGI_CC.EST,GOV_WGI_GE.EST,GOV_WGI_PV.EST,GOV_WGI_RL.EST,GOV_WGI_RQ.EST,GOV_WGI_VA.EST,IP.JRN.ARTC.SC,IP.PAT.RESD,IT.NET.USER.ZS,NV.AGR.TOTL.ZS,NY.ADJ.DFOR.GN.ZS,NY.ADJ.DRES.GN.ZS,SD.ESR.PERF.XQ,SE.ADT.LITR.ZS,SE.ENR.PRSC.FM.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.XPD.TOTL.GB.ZS,SG.GEN.PARL.ZS,SH.DTH.COMM.ZS,SH.DYN.MORT,SH.H2O.SMDW.ZS,SH.MED.BEDS.ZS,SH.STA.OWAD.ZS,SH.STA.SMSS.ZS,SI.DST.FRST.20,SI.POV.DDAY,SI.POV.GINI,SI.POV.NAHC,SI.POV.UMIC,SI.SPR.PGAP,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.ZS,SL.TLF.0714.ZS,SL.TLF.ACTI.ZS,SL.TLF.CACT.FM.ZS,SL.UEM.NEET.FE.ME.ZS,SL.UEM.NEET.ME.ZS,SL.UEM.TOTL.ZS,SM.POP.NETM,SN.ITK.DEFC.ZS,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.65UP.TO.ZS,SP.UWT.TFRT
ABW,2000,,,,,,,,,,,,,,,,,5247.88,,0.0,,0.3599,,,,,,,,32.0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2001,,0.0,,,,,,,,,,,,,,,5367.46,,0.0,,-1.3217,,,,,,,,33.6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2002,,1.0,,0.0,,,,,,,,,,,,,5473.56,,0.0,,-1.5576,,,,,,,,33.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2003,,1.0,,0.0,,,,,,,,,,,,,5557.76,,0.0,,-0.1748,,,,,,,,33.5908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2004,,0.0,,0.0,,,,,,,,,,,,,5515.71,,0.0,,1.7918,,,,,,,,31.974,,,,,,,0.9662856,0.8951417,0.6292149,0.6070244,0.7433115,0.4432463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2005,,0.0,,0.0,,,,,,,,,,,,,5766.9,,0.0,2.0,1.8035,,,,,,,,31.1967,,,,,,,1.3271197,1.2500659,1.3614598,0.7886266,1.1126306,1.0540705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2006,,0.0,,0.0,,,,,,,,,,,,,5636.17,,0.0,,0.9447,,,,,,,,31.8931,,,,,,,1.3353033,1.2471197,1.3644361,0.7859951,1.1088431,1.064766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2007,,0.0,,0.0,,,,,,,,,,,,,5550.23,,0.0,,-0.0026,,,,,,,,31.8429,,,,,,,1.3294413,1.2515751,1.3693511,0.7911827,1.1154374,1.0616691,,,,,,,2.309294304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2008,,0.0,,0.0,,,,,,,,,,,,,5365.61,,0.0,2.0,1.5833,,,,,,,,31.8514,,,,,,,1.3309995,1.2550503,1.3687458,0.7863873,1.1125128,1.0591373,,,,,,,2.303739907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2009,,0.0,,0.0,,,,,,,,,,,,,5490.42,,0.0,,-0.7625,,,,,,,,31.4465,,,,,,,1.0315021,1.3983691,1.3267766,1.4164209,1.4683748,1.389796,,,,,,,2.274796198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2010,,0.0,,0.0,,,,,,,,,,,,,5754.75,,0.0,3.03,1.914,,,,,,,,31.6621,,,,,,,1.0319006,1.0023954,1.2560673,1.4158901,1.4684441,1.3885304,,,,,,,2.345258838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2011,,0.0,,0.0,,,,,,,,,,,,,5517.03,,0.0,3.0,2.1863,,,,,,,,30.4547,,,,,,,1.0309026,1.0015699,1.251139,1.3475874,1.4689355,1.3908076,,,,,,,2.339889531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2012,,0.0,,0.0,,,,,,,,,,,,,5565.5,97.26,0.0,,-0.52,,,,,,,,31.4871,,,,,,,1.0288289,1.0017778,1.3159088,1.3458678,1.4635658,1.3889093,,,,,,,2.341492375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2013,,0.0,,0.0,,,,,,,,,,,,,5548.91,97.26,0.0,3.0,-1.097,,,,,,,,32.3896,,,,,,,1.0289865,1.00201,1.3143193,1.3420243,1.4627699,1.3861136,,,,,,,2.345528734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2014,,0.0,,0.0,,,,,,,,,,,,,5436.58,97.26,0.0,,-1.7405,,,,,,,,32.3035,,,,,,,0.8949794,0.6967705,1.2105482,1.0095673,1.2441605,1.3891229,,,,,,,2.353362897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2015,,0.0,,0.0,,,,,,,,,,,,,5519.96,97.26,0.0,2.0,-1.7269,,,,,,,,32.7626,,,,,,,1.1609441,0.6950388,1.209329,1.2928771,1.3576467,1.3898855,,,,,,,2.349156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2016,,0.0,,0.0,,,,,,,,,,,,,5722.92,97.26,0.0,,-0.3008,,,,,,,,33.2904,,,,,,,1.1622716,0.6956408,1.2062931,1.2931593,1.3588318,1.3889356,,,,,,,2.366390393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2017,,0.0,,0.0,,,,,,,,,,,,,5664.81,97.26,0.0,5.02,-0.9274,,,,,,,,32.7308,,,,,,,1.1613218,0.6958363,1.2066651,1.2924687,1.2660605,1.3881098,,,,,,,2.354611712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2018,,0.0,,0.0,,,,,,,,,,,,,5369.25,97.26,0.0,,-0.2873,,,,,,,,31.6478,,,,,,,1.1629372,0.9066629,1.3341522,1.2931496,0.9845005,1.4179056,,,,,,,2.347902762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2019,,0.0,,0.0,,,,,,,,,,,,,5579.93,97.26,0.0,4.01,-2.2714,,,,,,,,32.9278,,,,,,,1.1651628,0.9077089,1.3349374,1.2930625,0.9858983,1.4172559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2020,,0.0,,0.0,,,,,,,,,,,,,5785.67,97.26,0.0,6.04,-1.0114,,,,,,,,33.07,,,,,,,1.165722,0.9047216,1.3345061,1.2938144,0.9835183,1.4163396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2021,,0.0,,0.0,,,,,,,,,,,,,5562.43,97.26,,,-0.6286,,,,,,,,32.1482,,,,,,,0.8692192,0.9064944,1.3328137,1.2183341,0.9825611,0.9629543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2022,,0.0,,0.0,,,,,,,,,,,,,5526.63,97.26,,3.01,-0.4168,,,,,,,,,,,,,,,0.8688452,1.0084741,1.3357267,1.2205245,0.9800098,0.9608656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
