economy,time,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SP.POP.TOTL
ABW,1990,12187.5363611898,72.546,62753.0
ABW,1991,13233.9905169683,72.592,65896.0
ABW,1992,13892.6051427736,72.717,69005.0
ABW,1993,14700.9598081521,72.777,73685.0
ABW,1994,16055.2877874337,72.796,77595.0
ABW,1995,16548.7173868987,72.832,79805.0
ABW,1996,16620.9545555513,72.856,83021.0
ABW,1997,17750.0095644198,72.904,86301.0
ABW,1998,18828.0870594071,72.94,88451.0
ABW,1999,19216.1972354472,72.857,89659.0
ABW,2000,20681.0230269625,72.939,90588.0
ABW,2001,20740.1325828172,73.044,91439.0
ABW,2002,21307.2482505267,73.135,92074.0
ABW,2003,21949.4859960868,73.236,93128.0
ABW,2004,23700.6319899197,73.223,95138.0
ABW,2005,24171.8371325422,73.415,97635.0
ABW,2006,24845.65848362,73.498,99405.0
ABW,2007,26736.3089444046,73.642,100150.0
ABW,2008,28171.9094008501,73.783,100917.0
ABW,2009,25134.7712303589,73.974,101604.0
ABW,2010,24093.1401510626,74.297,101838.0
ABW,2011,25712.3843015186,74.578,102591.0
ABW,2012,25119.6655449838,74.841,104110.0
ABW,2013,25813.5714408438,75.072,105675.0
ABW,2014,26129.8390617693,75.261,106807.0
ABW,2015,27458.2201537506,75.405,107906.0
ABW,2016,27441.5502144601,75.54,108727.0
ABW,2017,28440.0416881491,75.62,108735.0
ABW,2018,30082.1584226798,75.88,108908.0
ABW,2019,30654.4851235397,76.019,109203.0
ABW,2020,22664.3709949437,75.406,108587.0
AFG,1990,,45.118,12045660.0
AFG,1991,,45.521,12238879.0
AFG,1992,,46.569,13278974.0
AFG,1993,,51.021,14943172.0
AFG,1994,,50.969,16250794.0
AFG,1995,,52.103,17065836.0
AFG,1996,,52.83,17763266.0
AFG,1997,,53.212,18452091.0
AFG,1998,,52.487,19159996.0
AFG,1999,,54.532,19887785.0
AFG,2000,174.930991430166,55.005,20130327.0
AFG,2001,138.706821676113,55.511,20284307.0
AFG,2002,178.954088379235,56.225,21378117.0
AFG,2003,198.871115728727,57.171,22733049.0
AFG,2004,221.763653873013,57.81,23560654.0
AFG,2005,254.184249149336,58.247,24404567.0
AFG,2006,274.218553561575,58.553,25424094.0
AFG,2007,376.223152003876,58.956,25909852.0
AFG,2008,381.73323802844,59.708,26482622.0
AFG,2009,452.053705477043,60.248,27466101.0
AFG,2010,560.621505463146,60.702,28284089.0
AFG,2011,606.694676337726,61.25,29347708.0
AFG,2012,651.417134470046,61.735,30560034.0
AFG,2013,637.087099117099,62.188,31622704.0
AFG,2014,625.054941813938,62.26,32792523.0
AFG,2015,565.569730408751,62.27,33831764.0
AFG,2016,522.082215583898,62.646,34700612.0
AFG,2017,525.469770891619,62.406,35688935.0
AFG,2018,491.337221382603,62.443,36743039.0
AFG,2019,496.6025042585,62.941,37856121.0
AFG,2020,510.787063366811,61.454,39068979.0
AGO,1990,965.866840464665,41.854,11626360.0
AGO,1991,881.919488130062,43.812,12023529.0
AGO,1992,668.706017459877,42.267,12423712.0
AGO,1993,449.727894936295,42.19,12827135.0
AGO,1994,334.973590276074,43.567,13249764.0
AGO,1995,404.29481849612,46.139,13699778.0
AGO,1996,531.115366543271,46.418,14170973.0
AGO,1997,521.70291489053,46.688,14660413.0
AGO,1998,429.188126933192,45.452,15159370.0
AGO,1999,392.725539027496,45.808,15667235.0
AGO,2000,563.733795571487,46.501,16194869.0
AGO,2001,533.586202412447,47.032,16747208.0
AGO,2002,999.065855956628,47.874,17327699.0
AGO,2003,1133.66331960414,50.218,17943712.0
AGO,2004,1451.47117870872,51.123,18600423.0
AGO,2005,2145.88621098663,52.13,19291161.0
AGO,2006,2930.44428606516,52.965,20015279.0
AGO,2007,3515.05678985496,54.2,20778561.0
AGO,2008,4578.15526451058,55.281,21578655.0
AGO,2009,3645.14846565169,56.225,22414773.0
AGO,2010,4101.63715564669,57.242,23294825.0
AGO,2011,5184.15269151846,58.093,24218352.0
AGO,2012,5702.45306277434,58.916,25177394.0
AGO,2013,5688.57916213471,59.705,26165620.0
AGO,2014,5649.68762467535,60.396,27160769.0
AGO,2015,3641.72893920253,61.042,28157798.0
AGO,2016,2082.37343594705,61.619,29183070.0
AGO,2017,2832.14997950512,62.122,30234839.0
AGO,2018,2891.83032378747,62.622,31297155.0
AGO,2019,2507.86807213642,63.051,32375632.0
AGO,2020,1749.1794838482,63.116,33451132.0
ALB,1990,617.230435515505,72.71,3286542.0
ALB,1991,336.586994504629,73.001,3266790.0
ALB,1992,200.852219772323,73.303,3247039.0
ALB,1993,367.279225077581,73.638,3227287.0
ALB,1994,586.416135130865,73.837,3207536.0
ALB,1995,911.320465445326,74.022,3187784.0
ALB,1996,1020.97618050188,74.113,3168033.0
ALB,1997,728.545523729675,73.383,3148281.0
ALB,1998,831.175344077295,74.357,3128530.0
ALB,1999,1056.34481153033,74.568,3108778.0
ALB,2000,1160.42047054038,74.826,3089027.0
