economy,time,Country,Time,SP.DYN.LE00.IN
DEU,2022,Germany,2022,80.6080487804878
DEU,2021,Germany,2021,80.790243902439
DEU,2020,Germany,2020,81.0414634146342
DEU,2019,Germany,2019,81.2926829268293
DEU,2018,Germany,2018,80.8926829268293
DEU,2017,Germany,2017,80.9926829268293
DEU,2016,Germany,2016,80.990243902439
DEU,2015,Germany,2015,80.6414634146341
DEU,2014,Germany,2014,81.090243902439
DEU,2013,Germany,2013,80.490243902439
DEU,2012,Germany,2012,80.5390243902439
DEU,2011,Germany,2011,80.4365853658537
DEU,2010,Germany,2010,79.9878048780488
DEU,2009,Germany,2009,79.8365853658537
DEU,2008,Germany,2008,79.7365853658537
DEU,2007,Germany,2007,79.5341463414634
DEU,2006,Germany,2006,79.1317073170732
DEU,2005,Germany,2005,78.9317073170732
DEU,2004,Germany,2004,78.6804878048781
DEU,2003,Germany,2003,78.3804878048781
DEU,2002,Germany,2002,78.2292682926829
DEU,2001,Germany,2001,78.3292682926829
DEU,2000,Germany,2000,77.9268292682927
DEU,1999,Germany,1999,77.7268292682927
DEU,1998,Germany,1998,77.4756097560976
DEU,1997,Germany,1997,77.0731707317073
DEU,1996,Germany,1996,76.6731707317073
DEU,1995,Germany,1995,76.4219512195122
DEU,1994,Germany,1994,76.2707317073171
DEU,1993,Germany,1993,75.8707317073171
DEU,1992,Germany,1992,75.819512195122
DEU,1991,Germany,1991,75.319512195122
DEU,1990,Germany,1990,75.0856341463415
JPN,2022,Japan,2022,83.9963414634146
JPN,2021,Japan,2021,84.4456097560976
JPN,2020,Japan,2020,84.56
JPN,2019,Japan,2019,84.3563414634146
JPN,2018,Japan,2018,84.2109756097561
JPN,2017,Japan,2017,84.099756097561
JPN,2016,Japan,2016,83.9848780487805
JPN,2015,Japan,2015,83.7939024390244
JPN,2014,Japan,2014,83.5878048780488
JPN,2013,Japan,2013,83.3319512195122
JPN,2012,Japan,2012,83.0960975609756
JPN,2011,Japan,2011,82.5912195121951
JPN,2010,Japan,2010,82.8426829268293
JPN,2009,Japan,2009,82.9314634146342
JPN,2008,Japan,2008,82.5875609756098
JPN,2007,Japan,2007,82.5070731707317
JPN,2006,Japan,2006,82.3219512195122
JPN,2005,Japan,2005,81.9551219512195
JPN,2004,Japan,2004,82.030243902439
JPN,2003,Japan,2003,81.76
JPN,2002,Japan,2002,81.6907317073171
JPN,2001,Japan,2001,81.4163414634146
JPN,2000,Japan,2000,81.0760975609756
JPN,1999,Japan,1999,80.4609756097561
JPN,1998,Japan,1998,80.5014634146342
JPN,1997,Japan,1997,80.4241463414634
JPN,1996,Japan,1996,80.219756097561
JPN,1995,Japan,1995,79.5360975609756
JPN,1994,Japan,1994,79.6968292682927
JPN,1993,Japan,1993,79.3036585365854
JPN,1992,Japan,1992,79.080243902439
JPN,1991,Japan,1991,79.0368292682927
JPN,1990,Japan,1990,78.8370731707317
NGA,2022,Nigeria,2022,54.079
NGA,2021,Nigeria,2021,53.455
NGA,2020,Nigeria,2020,53.072
NGA,2019,Nigeria,2019,53.009
NGA,2018,Nigeria,2018,52.669
NGA,2017,Nigeria,2017,52.397
NGA,2016,Nigeria,2016,52.189
NGA,2015,Nigeria,2015,51.939
NGA,2014,Nigeria,2014,51.94
NGA,2013,Nigeria,2013,51.827
NGA,2012,Nigeria,2012,51.688
NGA,2011,Nigeria,2011,51.49
NGA,2010,Nigeria,2010,51.315
NGA,2009,Nigeria,2009,51.08
NGA,2008,Nigeria,2008,50.748
NGA,2007,Nigeria,2007,50.381
NGA,2006,Nigeria,2006,49.876
NGA,2005,Nigeria,2005,49.538
NGA,2004,Nigeria,2004,49.148
NGA,2003,Nigeria,2003,48.618
NGA,2002,Nigeria,2002,48.02
NGA,2001,Nigeria,2001,47.549
NGA,2000,Nigeria,2000,47.143
NGA,1999,Nigeria,1999,46.609
NGA,1998,Nigeria,1998,46.148
NGA,1997,Nigeria,1997,45.96
NGA,1996,Nigeria,1996,45.833
NGA,1995,Nigeria,1995,45.87
NGA,1994,Nigeria,1994,45.748
NGA,1993,Nigeria,1993,45.783
NGA,1992,Nigeria,1992,45.587
NGA,1991,Nigeria,1991,45.483
NGA,1990,Nigeria,1990,45.733
BRA,2022,Brazil,2022,74.872
BRA,2021,Brazil,2021,73.038
BRA,2020,Brazil,2020,74.506
BRA,2019,Brazil,2019,75.809
BRA,2018,Brazil,2018,75.633
BRA,2017,Brazil,2017,75.383
BRA,2016,Brazil,2016,75.081
BRA,2015,Brazil,2015,75.106
BRA,2014,Brazil,2014,74.823
