economy,Country,EG.FEC.RNEW.ZS
AFG,Afghanistan,20.0
ALB,Albania,41.9
DZA,Algeria,0.1
ASM,American Samoa,0.4
AND,Andorra,18.7
AGO,Angola,52.9
ATG,Antigua and Barbuda,0.9
ARG,Argentina,9.2
ARM,Armenia,9.1
ABW,Aruba,8.8
AUS,Australia,12.3
AUT,Austria,36.0
AZE,Azerbaijan,1.3
BHS,"Bahamas, The",1.1
BHR,Bahrain,0.0
BGD,Bangladesh,25.0
BRB,Barbados,5.5
BLR,Belarus,8.2
BEL,Belgium,11.7
BLZ,Belize,30.8
BEN,Benin,54.5
BMU,Bermuda,0.9
BTN,Bhutan,82.5
BOL,Bolivia,12.8
BIH,Bosnia and Herzegovina,36.6
BWA,Botswana,27.4
BRA,Brazil,46.5
VGB,British Virgin Islands,1.3
BRN,Brunei Darussalam,0.0
BGR,Bulgaria,20.4
BFA,Burkina Faso,71.4
BDI,Burundi,83.0
CPV,Cabo Verde,21.8
KHM,Cambodia,52.4
CMR,Cameroon,79.2
CAN,Canada,23.8
CYM,Cayman Islands,0.0
CAF,Central African Republic,90.9
TCD,Chad,70.0
CHL,Chile,24.2
CHN,China,15.2
COL,Colombia,29.7
COM,Comoros,39.3
COD,"Congo, Dem. Rep.",96.3
COG,"Congo, Rep.",71.4
CRI,Costa Rica,34.2
CIV,Cote d'Ivoire,58.2
HRV,Croatia,34.1
CUB,Cuba,20.9
CUW,Curacao,2.8
CYP,Cyprus,15.6
CZE,Czechia,17.2
DNK,Denmark,39.5
DJI,Djibouti,26.9
DMA,Dominica,8.9
DOM,Dominican Republic,14.8
ECU,Ecuador,18.9
EGY,"Egypt, Arab Rep.",6.1
SLV,El Salvador,21.9
GNQ,Equatorial Guinea,4.2
ERI,Eritrea,80.7
EST,Estonia,38.0
SWZ,Eswatini,64.7
ETH,Ethiopia,90.6
FRO,Faroe Islands,7.9
FJI,Fiji,28.4
FIN,Finland,50.2
FRA,France,16.2
PYF,French Polynesia,7.0
GAB,Gabon,91.3
GMB,"Gambia, The",47.7
GEO,Georgia,25.2
DEU,Germany,17.6
GHA,Ghana,39.0
GIB,Gibraltar,0.0
GRC,Greece,21.5
GRL,Greenland,11.7
GRD,Grenada,10.0
GUM,Guam,6.7
GTM,Guatemala,62.1
GIN,Guinea,66.6
GNB,Guinea-Bissau,87.4
GUY,Guyana,12.1
HTI,Haiti,76.7
HND,Honduras,45.9
HKG,"Hong Kong SAR, China",0.4
HUN,Hungary,15.3
ISL,Iceland,82.4
IND,India,34.9
IDN,Indonesia,20.2
IRN,"Iran, Islamic Rep.",0.9
IRQ,Iraq,1.1
IRL,Ireland,12.7
IMN,Isle of Man,2.7
ISR,Israel,6.2
ITA,Italy,17.5
JAM,Jamaica,10.5
JPN,Japan,8.8
JOR,Jordan,11.5
KAZ,Kazakhstan,2.0
KEN,Kenya,67.7
KIR,Kiribati,41.9
PRK,"Korea, Dem. People's Rep.",14.7
KOR,"Korea, Rep.",3.6
KWT,Kuwait,0.1
KGZ,Kyrgyz Republic,27.6
LAO,Lao PDR,49.2
LVA,Latvia,44.0
LBN,Lebanon,6.8
LSO,Lesotho,34.9
LBR,Liberia,92.8
LBY,Libya,3.1
LIE,Liechtenstein,56.9
LTU,Lithuania,33.2
LUX,Luxembourg,20.5
MAC,"Macao SAR, China",11.0
MDG,Madagascar,83.1
MWI,Malawi,62.9
MYS,Malaysia,7.5
MDV,Maldives,1.2
MLI,Mali,71.1
MLT,Malta,8.6
MHL,Marshall Islands,12.2
MRT,Mauritania,19.6
MUS,Mauritius,8.6
MEX,Mexico,13.0
FSM,"Micronesia, Fed. Sts.",2.0
MDA,Moldova,21.4
MNG,Mongolia,3.0
MNE,Montenegro,39.6
MAR,Morocco,10.9
MOZ,Mozambique,76.9
MMR,Myanmar,62.9
NAM,Namibia,30.0
NRU,Naoero,1.9
NPL,Nepal,73.7
NLD,Netherlands,12.2
NCL,New Caledonia,9.6
NZL,New Zealand,28.9
NIC,Nicaragua,50.4
NER,Niger,79.6
NGA,Nigeria,80.3
MKD,North Macedonia,19.5
MNP,Northern Mariana Islands,0.5
NOR,Norway,61.4
OMN,Oman,0.1
PAK,Pakistan,41.6
PLW,Palau,0.9
PAN,Panama,28.0
PNG,Papua New Guinea,54.6
PRY,Paraguay,58.8
PER,Peru,30.6
PHL,Philippines,28.0
POL,Poland,15.2
PRT,Portugal,32.3
PRI,Puerto Rico (US),2.5
QAT,Qatar,0.0
ROU,Romania,23.6
RUS,Russian Federation,3.5
RWA,Rwanda,79.9
WSM,Samoa,35.9
STP,Sao Tome and Principe,42.5
SAU,Saudi Arabia,0.1
SEN,Senegal,35.4
SRB,Serbia,27.2
SYC,Seychelles,1.9
SLE,Sierra Leone,71.6
SGP,Singapore,1.1
SXM,Sint Maarten (Dutch part),0.0
SVK,Slovak Republic,17.9
SVN,Slovenia,23.4
SLB,Solomon Islands,50.1
SOM,"Somalia, Fed. Rep.",95.4
ZAF,South Africa,9.7
SSD,South Sudan,32.4
ESP,Spain,19.0
LKA,Sri Lanka,48.8
KNA,St. Kitts and Nevis,1.5
LCA,St. Lucia,9.7
VCT,St. Vincent and the Grenadines,5.1
SDN,Sudan,61.0
SUR,Suriname,14.5
SWE,Sweden,57.9
CHE,Switzerland,27.7
SYR,Syrian Arab Republic,1.1
TJK,Tajikistan,34.9
TZA,Tanzania,78.3
THA,Thailand,19.0
TLS,Timor-Leste,11.4
TGO,Togo,75.1
TON,Tonga,2.3
